"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8632","BD-UI Add bank drop form shows name, order, active toggle, save and cancel","tests.admin_portal.bank_drop","2026-06-28","passed","2026-06-28","","test_bank_drop_ui","",""
"App may accept or reject a duplicate name. Test documents that the form stays usable.","10794","BD-VAL-006 Duplicate bank drop name — document server behaviour","tests.admin_portal.bank_drop","2026-06-28","passed","2026-06-28","","test_bank_drop_edge_cases","",""
"","6011","BD-EXP-001 Export download button is visible and clickable","tests.admin_portal.bank_drop","2026-06-28","passed","2026-06-28","","test_bank_drop_edge_cases","",""
"","10243","BD-EDT-005 Edit form pre-populates existing name and order values","tests.admin_portal.bank_drop","2026-06-28","passed","2026-06-28","","test_bank_drop_edit","",""
"","6854","BD-UI-001 Save button on Add form shows raw i18n key instead of label","tests.admin_portal.bank_drop","2026-06-28","skipped","2026-06-28","","test_bank_drop_edge_cases","",""
"","11468","BD-EDT-006 Cancel out of edit form discards changes","tests.admin_portal.bank_drop","2026-06-28","passed","2026-06-28","","test_bank_drop_edit","",""
"","7201","BD-VAL-002 Blank order is blocked on save","tests.admin_portal.bank_drop","2026-06-28","passed","2026-06-28","","test_bank_drop_validation","",""
"","5860","BD-PER-002 Edited bank drop changes persist after page reload","tests.admin_portal.bank_drop","2026-06-28","passed","2026-06-28","","test_bank_drop_edit","",""
"","0","BD-ORD-001 Bank drop list is sorted by order value ascending","tests.admin_portal.bank_drop","2026-06-28","skipped","2026-06-28","","test_bank_drop_edit","",""
"","8337","BD-PER-001 Created bank drop data persists after page reload","tests.admin_portal.bank_drop","2026-06-28","passed","2026-06-28","","test_bank_drop_positive","",""
"","8947","BD-LST-002 Grid displays name, order, and status with Edit action per row","tests.admin_portal.bank_drop","2026-06-28","passed","2026-06-28","","test_bank_drop_ui","",""
"type=number with no min constraint: zero may be accepted. Test documents current behavior.","6840","BD-VAL-005 Zero order value — document browser behaviour","tests.admin_portal.bank_drop","2026-06-28","passed","2026-06-28","","test_bank_drop_edge_cases","",""
"","0","BD-CRT-002 Create inactive bank drop is hidden from the default list","tests.admin_portal.bank_drop","2026-06-28","skipped","2026-06-28","","test_bank_drop_positive","",""
"","6872","BD-VAL-001 Blank bank drop name is blocked on save","tests.admin_portal.bank_drop","2026-06-28","passed","2026-06-28","","test_bank_drop_validation","",""
"App may accept or reject a duplicate order. Test documents that the form stays usable.","9947","BD-VAL-007 Duplicate order value — document server behaviour","tests.admin_portal.bank_drop","2026-06-28","passed","2026-06-28","","test_bank_drop_edge_cases","",""
"","36822","BD-EDT-001 Edit bank drop name persists after save","tests.admin_portal.bank_drop","2026-06-28","broken","2026-06-28","","test_bank_drop_edit","",""
"","5914","BD-LST-001 Bank drop page loads with primary controls","tests.admin_portal.bank_drop","2026-06-28","passed","2026-06-28","","test_bank_drop_ui","",""
"","6426","BD-LST-003 Pagination and results-per-page controls are visible","tests.admin_portal.bank_drop","2026-06-28","passed","2026-06-28","","test_bank_drop_ui","",""
"","0","BD-ORD-002 Changing order value re-sequences the bank drop in the list","tests.admin_portal.bank_drop","2026-06-28","skipped","2026-06-28","","test_bank_drop_edge_cases","",""
"","6328","BD-CRT-001 Create active bank drop appears in list with Active status and correct order","tests.admin_portal.bank_drop","2026-06-28","passed","2026-06-28","","test_bank_drop_positive","",""
"type=number with no min constraint: browser may accept -1. Test documents current behavior.","8283","BD-VAL-004 Negative order value — document browser behaviour","tests.admin_portal.bank_drop","2026-06-28","passed","2026-06-28","","test_bank_drop_edge_cases","",""
"","12215","BD-EDT-004 Deactivate an active bank drop hides it from the default list","tests.admin_portal.bank_drop","2026-06-28","passed","2026-06-28","","test_bank_drop_edit","",""
"","11081","BD-EDT-002 Edit order value persists after save","tests.admin_portal.bank_drop","2026-06-28","passed","2026-06-28","","test_bank_drop_edit","",""
"","8276","BD-CRT-004 Cancel out of add form discards data and returns to list","tests.admin_portal.bank_drop","2026-06-28","passed","2026-06-28","","test_bank_drop_positive","",""
"","7063","BD-VAL-003 Non-numeric value in order field is rejected","tests.admin_portal.bank_drop","2026-06-28","passed","2026-06-28","","test_bank_drop_validation","",""
"","8922","BD-UI-002 Pagination footer shows correct record count when records exist","tests.admin_portal.bank_drop","2026-06-28","skipped","2026-06-28","","test_bank_drop_edge_cases","",""
"","12402","BD-EDT-003 Activate an inactive bank drop updates its status to Active","tests.admin_portal.bank_drop","2026-06-28","passed","2026-06-28","","test_bank_drop_edit","",""
