"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","CCP-FLT-002 Filter by Is used = Not used shows only unredeemed coupons","tests.admin_portal.coupon_packages","2026-06-27","skipped","2026-06-27","","test_coupon_packages_customer_tab","",""
"","7308","CCP-LST-002 Customer coupon packages grid columns are visible","tests.admin_portal.coupon_packages","2026-06-27","passed","2026-06-27","","test_coupon_packages_customer_tab","",""
"","0","CCP-FLT-004 Active coupon code filter shows active only","tests.admin_portal.coupon_packages","2026-06-27","skipped","2026-06-27","","test_coupon_packages_customer_tab","",""
"","42823","CP-NAM-004 Maximum length name does not break the form","tests.admin_portal.coupon_packages","2026-06-27","passed","2026-06-27","","test_coupon_packages_edge_cases","",""
"","55259","CP-EDT-006 Deactivate an active coupon package updates status","tests.admin_portal.coupon_packages","2026-06-27","passed","2026-06-27","","test_coupon_packages_edit","",""
"","0","CP-EXD-003 Negative expiration days are rejected or corrected","tests.admin_portal.coupon_packages","2026-06-27","skipped","2026-06-27","","test_coupon_packages_edge_cases","",""
"","46003","CP-EXD-002 Zero expiration days creates package with no expiry","tests.admin_portal.coupon_packages","2026-06-27","passed","2026-06-27","","test_coupon_packages_edge_cases","",""
"","0","CP-EDT-005 Activate an inactive coupon package updates status to Active","tests.admin_portal.coupon_packages","2026-06-27","skipped","2026-06-27","","test_coupon_packages_edit","",""
"","7505","CP-LST-004 Add new coupon package form loads correctly","tests.admin_portal.coupon_packages","2026-06-27","passed","2026-06-27","","test_coupon_packages_ui","",""
"","44379","CP-SRH-002 Search by partial coupon package name returns matching rows","tests.admin_portal.coupon_packages","2026-06-27","passed","2026-06-27","","test_coupon_packages_search_filter","",""
"","6484","CP-LST-003 Customer coupon packages tab is accessible","tests.admin_portal.coupon_packages","2026-06-27","passed","2026-06-27","","test_coupon_packages_ui","",""
"","50618","CP-EDT-004 Edit coupon giveaway on receipt persists after save","tests.admin_portal.coupon_packages","2026-06-27","passed","2026-06-27","","test_coupon_packages_edit","",""
"","35750","CP-TGL-002 Create inactive coupon package","tests.admin_portal.coupon_packages","2026-06-27","passed","2026-06-27","","test_coupon_packages_positive","",""
"","0","CCP-SRH-003 Search non-existing code shows empty state","tests.admin_portal.coupon_packages","2026-06-27","skipped","2026-06-27","","test_coupon_packages_customer_tab","",""
"","6346","CP-LST-001 Coupon packages page loads with primary controls","tests.admin_portal.coupon_packages","2026-06-27","passed","2026-06-27","","test_coupon_packages_ui","",""
"","46219","CP-EDT-003 Edit expiration days persists after save","tests.admin_portal.coupon_packages","2026-06-27","passed","2026-06-27","","test_coupon_packages_edit","",""
"","7064","CP-SEC-001 Special character search does not break the grid","tests.admin_portal.coupon_packages","2026-06-27","passed","2026-06-27","","test_coupon_packages_negative","",""
"","46032","CP-FLT-003 Reset all restores the unfiltered coupon packages list","tests.admin_portal.coupon_packages","2026-06-27","passed","2026-06-27","","test_coupon_packages_search_filter","",""
"","0","CCP-FLT-001 Filter by Is used = Used shows only redeemed coupons","tests.admin_portal.coupon_packages","2026-06-27","skipped","2026-06-27","","test_coupon_packages_customer_tab","",""
"","41562","CP-DIS-001 / CP-CGR-001 Coupon package settings persist after save","tests.admin_portal.coupon_packages","2026-06-27","passed","2026-06-27","","test_coupon_packages_positive","",""
"","71720","CP-EDT-002 Edit assigned discount persists after save","tests.admin_portal.coupon_packages","2026-06-27","passed","2026-06-27","","test_coupon_packages_edit","",""
"","0","CCP-DEP-001 Generated coupon code is unique per customer","tests.admin_portal.coupon_packages","2026-06-27","skipped","2026-06-27","","test_coupon_packages_customer_tab","",""
"","6886","CP-SRH-003 Search non-existing name returns empty state","tests.admin_portal.coupon_packages","2026-06-27","passed","2026-06-27","","test_coupon_packages_search_filter","",""
