"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Admin Portal","0","Customers","10","0","CRUD","0"
"0","","0","","2","0","","0"
"5","Admin Portal","0","Customers","8","9","Cars Settings","0"
"0","Admin Portal","0","Customers","15","15","Search and Filter","0"
"0","Admin Portal","0","Customers","7","1","Validation","0"
"0","Admin Portal","0","Customers","1","3","Dependency","0"
"2","Admin Portal","0","Customers","5","6","Payment Settings","0"
"0","Admin Portal","0","Customers","8","1","Edit","0"
"0","Admin Portal","0","Customers","3","1","UI","0"
"0","Admin Portal","0","Customers","0","1","Export","0"
