"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8062","CUST-CRT-003 Date of birth calendar picker accepts a past date","tests.admin_portal.customers","2026-07-03","passed","2026-07-03","","test_customers_positive","",""
"","10621","CUST-CAR-001 Cars settings tab is accessible only on an existing customer","","2026-07-01","passed","2026-07-01","","","",""
"","0","CUST-CAR-002 Cars list shows membership and next payment date columns","tests.admin_portal.customers","2026-07-03","skipped","2026-07-03","","test_customers_cars","",""
"","12484","CUST-CAR-003b Add car form contains an RFID field","tests.admin_portal.customers","2026-07-03","passed","2026-07-03","","test_customers_cars","",""
"","0","CUST-FLT-019 Filter by Canceled Yes narrows results","tests.admin_portal.customers","2026-07-03","skipped","2026-07-03","","test_customers_search_filter","",""
"","8395","CUST-VAL-004 Invalid email format — document behaviour","tests.admin_portal.customers","2026-07-03","passed","2026-07-03","","test_customers_validation","",""
"","14330","CUST-DEP-003 Customer site assignment matches the Sites/Locations module","tests.admin_portal.customers","2026-07-03","passed","2026-07-03","","test_customers_dependency","",""
"","12087","CUST-FLT-005 Filter by last name narrows results to matching customers","tests.admin_portal.customers","2026-07-03","passed","2026-07-03","","test_customers_search_filter","",""
"","13154","CUST-CAR-003 Add car form contains a License Plate field","tests.admin_portal.customers","2026-07-03","passed","2026-07-03","","test_customers_cars","",""
"","27025","CUST-FLT-023 Sign up date from > sign up date to — page stays stable","tests.admin_portal.customers","2026-07-03","skipped","2026-07-03","","test_customers_search_filter","",""
"","26873","CUST-CAR-008 Car year / make / model / color cascade — document behaviour","tests.admin_portal.customers","2026-07-01","broken","2026-07-01","","test_customers_cars","",""
"","10458","CUST-CRT-001 Create customer with required fields only appears in the list","tests.admin_portal.customers","2026-07-03","passed","2026-07-03","","test_customers_positive","",""
"","28080","CUST-FLT-020 Filter by Declined Yes narrows results","tests.admin_portal.customers","2026-07-03","skipped","2026-07-03","","test_customers_search_filter","",""
"","6668","CUST-SRH-006 Non-matching license plate search returns empty state","tests.admin_portal.customers","2026-07-03","passed","2026-07-03","","test_customers_search_filter","",""
"","0","CUST-PAY-005 Transaction history Today filter narrows results","tests.admin_portal.customers","2026-07-03","skipped","2026-07-03","","test_customers_payment","",""
"","0","CUST-CAR-VAL-003 Duplicate license plate — document behaviour","tests.admin_portal.customers","2026-07-03","skipped","2026-07-03","","test_customers_cars","",""
"","0","CUST-PAY-007 Transaction history export","tests.admin_portal.customers","2026-07-03","skipped","2026-07-03","","test_customers_payment","",""
"","6083","CUST-FLT-002 Active accounts only toggle is ON by default","tests.admin_portal.customers","2026-07-03","passed","2026-07-03","","test_customers_search_filter","",""
"","0","CUST-DEP-002 Customer membership status reflects the Memberships module","tests.admin_portal.customers","2026-07-03","skipped","2026-07-03","","test_customers_dependency","",""
"","27710","CUST-FLT-015 Filter by Allow invoicing Yes narrows results","tests.admin_portal.customers","2026-07-03","skipped","2026-07-03","","test_customers_search_filter","",""
"","11989","CUST-CAR-001b Cars settings tab opens and shows Add car control","tests.admin_portal.customers","2026-07-03","passed","2026-07-03","","test_customers_cars","",""
"","14263","CUST-CAR-VAL-002 RFID field is present and marked required","tests.admin_portal.customers","2026-07-03","passed","2026-07-03","","test_customers_cars","",""
"","26798","CUST-CAR-VAL-002 Blank RFID is blocked on save","tests.admin_portal.customers","2026-07-01","broken","2026-07-01","","test_customers_cars","",""
"","0","CUST-VAL-007 Negative loyalty points amount — document behaviour","tests.admin_portal.customers","2026-07-03","skipped","2026-07-03","","test_customers_validation","",""
"","7207","CUST-VAL-003 Blank site assignment is blocked on save","tests.admin_portal.customers","2026-07-03","passed","2026-07-03","","test_customers_validation","",""
"","14579","CUST-CAR-VAL-001 License Plate field is present and marked required","tests.admin_portal.customers","2026-07-03","passed","2026-07-03","","test_customers_cars","",""
"","0","CUST-PER-003 Add car then refresh — car appears in Cars settings","tests.admin_portal.customers","2026-07-03","skipped","2026-07-03","","test_customers_cars","",""
"","26615","CUST-CAR-003 Add new car with required fields only — car saved successfully","tests.admin_portal.customers","2026-07-01","broken","2026-07-01","","test_customers_cars","",""
"","33066","CUST-FLT-022 Multiple filters combined narrow results correctly","tests.admin_portal.customers","2026-07-03","skipped","2026-07-03","","test_customers_search_filter","",""
"","12269","CUST-PAY-003 Save card button is present in Payment settings","tests.admin_portal.customers","2026-07-03","passed","2026-07-03","","test_customers_payment","",""
"","17857","CUST-EDT-002 Edit assigned site persists after save","tests.admin_portal.customers","2026-07-03","passed","2026-07-03","","test_customers_edit","",""
"","11809","CUST-FLT-006 Filter by email narrows results","tests.admin_portal.customers","2026-07-03","passed","2026-07-03","","test_customers_search_filter","",""
"","0","CUST-FLT-011 Filter by next payment date range narrows results","tests.admin_portal.customers","2026-07-03","skipped","2026-07-03","","test_customers_search_filter","",""
"","12270","CUST-PER-001 Create customer then refresh — data persists","tests.admin_portal.customers","2026-07-03","passed","2026-07-03","","test_customers_positive","",""
"","7998","CUST-CRT-008 Cars settings and Payment settings tabs are disabled for a new customer","tests.admin_portal.customers","2026-07-03","passed","2026-07-03","","test_customers_positive","",""
