"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","GC-VAL-004 Non-numeric gift card amount is rejected by the form","tests.admin_portal.gift_cards","2026-06-28","skipped","2026-06-28","","test_gift_cards_validation","",""
"","11534","CGC-VAL-002 Blank customer gift card number is blocked on save","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_validation","",""
"","12103","CGC-VAL-003 Blank customer gift card amount is blocked on save","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_validation","",""
"","11021","CGC-SRH-003 Search non-existing customer gift card number returns empty state","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_negative","",""
"","13129","GC-FLT-002 Active service toggle shows only active gift cards","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_filter","",""
"","7378","GC-VAL-003 Negative gift card amount is rejected by the form","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_validation","",""
"","14531","GC-EDT-006 Activate an inactive gift card updates its status to Active","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_edit","",""
"","22700","CGC-PER-001 Created customer gift card data persists after page reload","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_positive","",""
"","11763","CGC-CRT-001 Create customer gift card with required fields succeeds","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_positive","",""
"","20261","CGC-EDT-003 Toggle active customer gift card keeps it active after save","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_edit","",""
"","7428","GC-VAL-002 Blank gift card amount is blocked on save","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_validation","",""
"","6786","GC-SRH-003 Search non-existing gift card name returns empty state","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_negative","",""
"","13401","GC-EDT-002 Edit gift card amount and landing page code persist after save","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_edit","",""
"","12303","GC-CRT-008 Create inactive gift card does not appear in the default list","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_positive","",""
"","11932","CGC-VAL-006 Negative customer gift card amount is rejected by the form","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_validation","",""
"","18184","CGC-FLT-001 Filter by site narrows customer gift card list","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_filter","",""
"","7059","GC-LST-001 Gift cards primary action buttons are available","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_ui","",""
"","16418","GC-EDT-007 Deactivate an active gift card hides it from the default list","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_edit","",""
"","10853","CGC-DEP-001 Customer gift card is linked to the correct gift card template","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_positive","",""
"","10839","CGC-LST-001 Customer gift cards tab loads with correct controls","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_ui","",""
"","35028","GC-EDT-001 Edit gift card name persists after save","tests.admin_portal.gift_cards","2026-06-28","broken","2026-06-28","","test_gift_cards_edit","",""
"","7634","GC-VAL-001 Blank gift card name is blocked on save","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_validation","",""
"","16896","GC-EDGE create_gift_card_if_missing helper is idempotent","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_edge_cases","",""
"","13204","GC-FLT-001 Filter by site narrows gift card list to that site's cards","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_filter","",""
"","9517","GC-SRH-001 Search exact gift card name returns the correct record","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_search_filter","",""
"","13176","CGC-VAL-001 Saving without selecting a gift card template is blocked","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_validation","",""
"","11090","CGC-SRH-002 Partial customer gift card number search returns matching records","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_search_filter","",""
"","26749","GC-FLT-005 Reset all clears gift card filters and restores the full list","tests.admin_portal.gift_cards","2026-06-28","broken","2026-06-28","","test_gift_cards_filter","",""
"","16036","GC-DEP-002 Active gift card appears in Customer gift cards select dropdown","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_positive","",""
"","6519","GC-SRH-002 Partial gift card name search returns matching records","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_search_filter","",""
"","24011","CGC-EDT-001 Edit customer gift card amount persists after save","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_edit","",""
"","18867","GC-CRT-001 Create gift card with name and amount appears in list as Active","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_positive","",""
"","5816","GC-LST-001 Gift cards page loads with primary controls","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_ui","",""
"","9222","GC-SRH-004 Clear search after no-result query restores the gift card list","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_edge_cases","",""
"","31299","GC-PER-001 Created gift card data persists after page reload","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_positive","",""
"","11797","CGC-VAL-007 Non-numeric customer gift card amount is rejected by the form","tests.admin_portal.gift_cards","2026-06-28","passed","2026-06-28","","test_gift_cards_validation","",""
