"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1848","LAB-SIT-007 Previously selected site appears highlighted in the open dropdown","tests.admin_portal.labor_shifts","2026-07-15","skipped","2026-07-15","TestLaborShiftsSiteFilter","test_labor_shifts","",""
"","1052","LAB-DTE-Last month Selecting 'Last month' preset populates the date range field","tests.admin_portal.labor_shifts","2026-07-15","passed","2026-07-15","TestLaborShiftsDateFilter","test_labor_shifts","",""
"","38","LAB-KPI-001 KPI widget 'Productivity' is visible on the metrics screen","tests.admin_portal.labor_shifts","2026-07-15","passed","2026-07-15","TestLaborShiftsKPI","test_labor_shifts","",""
"","2617","LAB-DTE-014 Single-day mode renders a single-date report after apply","tests.admin_portal.labor_shifts","2026-07-15","passed","2026-07-15","TestLaborShiftsDateFilter","test_labor_shifts","",""
"","1038","LAB-DTE-Last week Selecting 'Last week' preset populates the date range field","tests.admin_portal.labor_shifts","2026-07-15","passed","2026-07-15","TestLaborShiftsDateFilter","test_labor_shifts","",""
"","3114","LAB-CSM-003 Commission cards update when the filter is changed","tests.admin_portal.labor_shifts","2026-07-15","passed","2026-07-15","TestLaborShiftsCommissionCards","test_labor_shifts","",""
"","37","LAB-FMD-002 Site filter is in empty default state on fresh page load","tests.admin_portal.labor_shifts","2026-07-15","passed","2026-07-15","TestLaborShiftsNav","test_labor_shifts","",""
"","1369","LAB-SIT-003 Selecting a single site creates a chip and scopes data","tests.admin_portal.labor_shifts","2026-07-15","passed","2026-07-15","TestLaborShiftsSiteFilter","test_labor_shifts","",""
"","5386","LAB-DTE-018 A date range spanning a month boundary renders without errors","tests.admin_portal.labor_shifts","2026-07-15","passed","2026-07-15","TestLaborShiftsDateFilter","test_labor_shifts","",""
"","695","LAB-DTE-001 Page-level date preset dropdown matches modal preset options","tests.admin_portal.labor_shifts","2026-07-15","passed","2026-07-15","TestLaborShiftsDateFilter","test_labor_shifts","",""
"","5598","LAB-DTE-010 Entering a custom start/end date updates the filter and refreshes data","tests.admin_portal.labor_shifts","2026-07-15","passed","2026-07-15","TestLaborShiftsDateFilter","test_labor_shifts","",""
"","66","LAB-CTX-001 Commission Transactions column 'Service Price' is present in the table header","tests.admin_portal.labor_shifts","2026-07-15","passed","2026-07-15","TestLaborShiftsCommissionTransactions","test_labor_shifts","",""
"","655","LAB-DTE-008 Clicking the date range field opens the dual-month calendar picker","tests.admin_portal.labor_shifts","2026-07-15","passed","2026-07-15","TestLaborShiftsDateFilter","test_labor_shifts","",""
"","14","LAB-CTX-002 Commission Transactions table populates data rows for the test dataset","tests.admin_portal.labor_shifts","2026-07-15","skipped","2026-07-15","TestLaborShiftsCommissionTransactions","test_labor_shifts","",""
"","1715","LAB-EMP-004 Searching by employee name filters the table to matching rows","tests.admin_portal.labor_shifts","2026-07-15","passed","2026-07-15","TestLaborShiftsEmployeeTable","test_labor_shifts","",""
"","949","LAB-DTE-015 Unchecking Single day reverts the date field to range mode","tests.admin_portal.labor_shifts","2026-07-15","passed","2026-07-15","TestLaborShiftsDateFilter","test_labor_shifts","",""
