"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","637","test_login_validation_invalid_email_formats[abc@@gmail.com]","tests.admin_portal.login","2026-06-30","passed","2026-06-30","","test_login_validation","",""
"","2531","test_login_with_email_trailing_space","tests.admin_portal.login","2026-06-30","passed","2026-06-30","","test_login_positive","",""
"","365","test_login_validation_invalid_email_formats[abc]","tests.admin_portal.login","2026-06-30","passed","2026-06-30","","test_login_validation","",""
"","2979","test_login_with_email_case_variation","tests.admin_portal.login","2026-06-30","passed","2026-06-30","","test_login_positive","",""
"","556","test_login_validation_maximum_email_length_does_not_break_ui","tests.admin_portal.login","2026-06-30","passed","2026-06-30","","test_login_validation","",""
"","31","test_login_footer_is_displayed","tests.admin_portal.login","2026-06-30","passed","2026-06-30","","test_login_ui","",""
"","425","test_login_security_payloads_do_not_authenticate[' OR 1=1 ---password]","tests.admin_portal.login","2026-06-30","passed","2026-06-30","","test_login_security_smoke","",""
"","3056","test_admin_login","tests.admin_portal.login","2026-06-30","passed","2026-06-30","","test_login","",""
"","7","test_password_visibility_icon_is_displayed","tests.admin_portal.login","2026-06-30","passed","2026-06-30","","test_login_ui","",""
"","350","test_login_validation_email_spaces_only","tests.admin_portal.login","2026-06-30","passed","2026-06-30","","test_login_validation","",""
"","416","test_login_validation_invalid_email_formats[abc @gmail.com]","tests.admin_portal.login","2026-06-30","passed","2026-06-30","","test_login_validation","",""
"","353","test_login_invalid_email_invalid_password_does_not_authenticate","tests.admin_portal.login","2026-06-30","passed","2026-06-30","","test_login_negative","",""
"","18","test_login_page_loads","tests.admin_portal.login","2026-06-30","passed","2026-06-30","","test_login_ui","",""
"","337","test_login_validation_invalid_email_formats[abc@]","tests.admin_portal.login","2026-06-30","passed","2026-06-30","","test_login_validation","",""
"","419","test_login_security_payloads_do_not_authenticate[<script>alert(1)</script>-password]","tests.admin_portal.login","2026-06-30","passed","2026-06-30","","test_login_security_smoke","",""
"","340","test_login_validation_invalid_email_formats[@gmail.com]","tests.admin_portal.login","2026-06-30","passed","2026-06-30","","test_login_validation","",""
"","408","test_login_security_payloads_do_not_authenticate[admin@example.com-<script>alert(1)</script>]","tests.admin_portal.login","2026-06-30","passed","2026-06-30","","test_login_security_smoke","",""
"","3387","test_authenticated_user_cannot_access_login_page","tests.admin_portal.login","2026-06-30","passed","2026-06-30","","test_login_positive","",""
"","35","test_login_fields_and_button_are_visible","tests.admin_portal.login","2026-06-30","passed","2026-06-30","","test_login_ui","",""
"","60670","test_login_with_email_leading_space","tests.admin_portal.login","2026-06-30","skipped","2026-06-30","","test_login_positive","",""
"","17","test_login_field_labels_are_displayed","tests.admin_portal.login","2026-06-30","passed","2026-06-30","","test_login_ui","",""
"","0","test_login_layout_renders_after_refresh","tests.admin_portal.login","2026-06-30","skipped","2026-06-30","","test_login_ui","",""
"","0","test_login_logo_is_available","tests.admin_portal.login","2026-06-30","skipped","2026-06-30","","test_login_ui","",""
"","2591","test_auth_token_is_stored_after_login","tests.admin_portal.login","2026-06-30","passed","2026-06-30","","test_login_session","",""
"","205","test_login_validation_email_empty","tests.admin_portal.login","2026-06-30","passed","2026-06-30","","test_login_validation","",""
"","377","test_login_validation_invalid_email_formats[abc@gmail]","tests.admin_portal.login","2026-06-30","passed","2026-06-30","","test_login_validation","",""
