"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","369","OVERVIEW-UI-003 Dashboard filter controls visible","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_ui","",""
"","366","OVERVIEW-FILTER-002/003/004 Site filter dashboard behavior","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_filters","",""
"","40","OV-FLT-017 Custom range end date before start date — document behaviour","tests.admin_portal.overview","2026-07-02","passed","2026-07-02","","test_overview_filters","",""
"","628","OVERVIEW-FILTER-001 Site filter dropdown is present in the dashboard","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_filters","",""
"","339","OV-MB-002 Sales, Cancellations, Re-signups, and Recharges counts update when filters change","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_widgets","",""
"","542","OV-FLT-016 Unchecking Single day checkbox reverts to date range mode","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_filters","",""
"","40865","OVERVIEW-FILTER-002/003/004 Selecting 'Vk test carwash 2' updates dashboard cards","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_filters","",""
"","513","OV-LAB-002 $ per car and Cars per labor hour values calculate correctly","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_widgets","",""
"Percentages in Usage Breakdown must follow a documented rounding rule.

    Acceptable: values that add to exactly 100 %, or a visible rounding footnote.
    ","381","OV-RPT-CW-008 Usage Breakdown per-service percentages obey the rounding rule","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_reports","",""
"","353","OV-CW-002 Cars Washed breakdown legend shows Single Washes, Membership Redemptions, and Comp Washes","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_widgets","",""
"","366","OV-GC-001 Gift Cards Sales and Redemptions totals match the Gift Cards module","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_widgets","",""
"","40873","OVERVIEW-FILTER-013 Custom date range 2026-06-01 → 2026-06-30 updates dashboard cards","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_filters","",""
"","343","OVERVIEW-FILTER-005 through 011 Date preset options are available","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_filters","",""
"","440","OV-AWT-002 Average Wash Ticket info icon shows calculation formula tooltip","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_widgets","",""
"","514","OV-CON-002 Revenue daily figure on the dashboard matches the Revenue Report Total Revenue for the same filter","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_data_validation","",""
"","417","OV-RPT-RV-002 Total Revenue, New Members, Recharges, Re-signups, and Retail Sales cards update correctly","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_reports","",""
"","494","OV-AWT-001 Average Wash Ticket Washes/Membership/Combined/Retail tiles are clickable","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_widgets","",""
"","571","OVERVIEW-FILTER-016/017 Single Day checkbox is available in the filter bar","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_filters","",""
"","497","OV-AWT-004 Average Wash Ticket breakdown bar shows per-service contribution","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_widgets","",""
"","338","OV-CW-003 Cars Washed hourly distribution bar chart renders","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_widgets","",""
"","359","OV-RV-004 Revenue Full Report link navigates to the detail report","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_widgets","",""
"","40820","OVERVIEW-FILTER-008 Selecting 'Last Month' preset updates all dashboard cards","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_filters","",""
"","460","OV-CON-001 Cars Washed Total on the dashboard matches the Cars Washed Report Total Cars for the same filter","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_data_validation","",""
"","40625","OV-FLT-005 Selected site is shown as a removable chip in the filter bar","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_filters","",""
"","470","OV-EMP-002 Employee shift status reflects current clock-in state","tests.admin_portal.overview","2026-07-02","skipped","2026-07-02","","test_overview_widgets","",""
