"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5727","SL-VAL-011 Invalid email format blocks save","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_validation","",""
"","25038","SL-EDT-005 Deactivate an active site hides it from the default list","tests.admin_portal.sites","2026-07-03","broken","2026-07-03","","test_sites_edit","",""
"","0","SL-DEP-001 Active site appears in Services module site dropdowns","tests.admin_portal.sites","2026-07-03","skipped","2026-07-03","","test_sites_dependency","",""
"","0","SL-DEP-003 Tax rates set on a site appear read-only in service assignment grids","tests.admin_portal.sites","2026-07-03","skipped","2026-07-03","","test_sites_dependency","",""
"","8056","SL-CP-003 Washbooks toggle in Customer Portal tab is interactable","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_edit","",""
"","2529","SL-EXP-001 Export button is clickable and does not break the page","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_export","",""
"","7306","SL-CC-002 Credit card tab shows Merchant ID and Pay API token input fields","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_edit","",""
"","2902","SL-VAL-010 Very long site name (200+ chars) does not crash the create form","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_validation","",""
"","0","SL-DEP-004 Deactivating a site removes it from active-site dropdowns","tests.admin_portal.sites","2026-07-03","skipped","2026-07-03","","test_sites_dependency","",""
"","31404","SL-LAN-002 Add a new lane — lane count increases and persists after save","tests.admin_portal.sites","2026-07-03","skipped","2026-07-03","","test_sites_edit","",""
"","6188","SL-VAL-012/013 Invalid tax values (negative, alpha, above 100%) block save","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_validation","",""
"","3473","SL-EDGE Long site name does not crash the create form","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_edge_cases","",""
"","7243","SL-CP-001 Customer Portal settings tab is accessible on the edit form","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_edit","",""
"","4690","SL-VAL-011 Invalid email format blocks save","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_validation","",""
"","5553","SL-VAL-003 Blank site name with otherwise complete form blocks save","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_validation","",""
"","7710","SL-CC-003 Credit card settings shows all processor type labels","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_edit","",""
"","3361","SL-VAL-002 Filling basic info only without address section blocks save","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_validation","",""
"","7290","SL-PER-001 Created site persists after page refresh","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_positive","",""
"","3417","SL-EDGE Sites list recovers cleanly after a full page refresh","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_edge_cases","",""
"","8136","SL-CP-004 Gift cards toggle in Customer Portal tab is interactable","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_edit","",""
"","12938","SL-EDT-001 Edit form pre-populates with the site's existing name","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_edit","",""
"","6621","SL-CRT-005 Create inactive site does not appear in the default (active) list","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_positive","",""
"","5080","SL-VAL-011 Invalid email format blocks save","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_validation","",""
"","3504","SL-FLT-005 Active toggle OFF shows all sites including inactive","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_search_filter","",""
"","5585","SL-VAL-012/013 Invalid tax values (negative, alpha, above 100%) block save","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_validation","",""
"","5431","SL-EDGE Address fields accept a random valid address without crashing","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_edge_cases","",""
"","3127","SL-CRT General settings form shows all sections with active switch ON by default","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_ui","",""
"","8423","SL-LAN-001 Lanes settings tab is accessible on the edit form","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_edit","",""
"","5757","SL-VAL-012/013 Invalid tax values (negative, alpha, above 100%) block save","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_validation","",""
"","6603","SL-CRT-002 Created site shows state and city in the list grid columns","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_positive","",""
"","0","SL-DEP-002 Active site appears in Customers assign-to site dropdown","tests.admin_portal.sites","2026-07-03","skipped","2026-07-03","","test_sites_dependency","",""
"","8861","SL-VAL-014/015 Duplicate site name or code is rejected on save","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_negative","",""
"","5801","SL-VAL-012/013 Invalid tax values (negative, alpha, above 100%) block save","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_validation","",""
"","46247","SL-PER-002 Edit site contact email — change persists after page refresh","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_edit","",""
"","3405","SL-VAL-009 Special characters in site name do not crash the create form","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_validation","",""
"","7507","SL-CP-002 Memberships toggle in Customer Portal tab is interactable","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_edit","",""
"","31367","SL-EDT-003 Edited tax settings persist after save and re-open","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_edit","",""
"","3230","SL-FLT-008 Reset filters restores the full site list","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_search_filter","",""
"","3633","SL-LAN-006 Adding multiple lanes succeeds without crashing the form","tests.admin_portal.sites","2026-07-03","skipped","2026-07-03","","test_sites_edit","",""
"","0","SL-DEP-006 Lane count in Sites list matches lanes added via Lanes settings","tests.admin_portal.sites","2026-07-03","skipped","2026-07-03","","test_sites_dependency","",""
"","6830","SL-FLT-006 Filter by name + active combined narrows results correctly","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_search_filter","",""
"","6696","SL-FLT-003 Filter by partial site name returns matching records","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_search_filter","",""
"","6851","SL-CRT-007 Create site with zero state and city tax rates saves successfully","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_positive","",""
"","7462","SL-CC-001 Credit card settings tab is accessible on the edit form","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_edit","",""
"","0","SL-DEP-005 Pay API token gates credit-card saving in Customers module","tests.admin_portal.sites","2026-07-03","skipped","2026-07-03","","test_sites_dependency","",""
"","8080","SL-CP-005 Show-on-portal toggle in Customer Portal tab is interactable","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_edit","",""
"","3334","SL-FLT-001 Filter panel opens with site name field and active toggle","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_ui","",""
"","7933","SL-EDT-006 Cancel edit does not save unsaved changes","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_edit","",""
"","2221","SL-EXP-001 Export file content validation","tests.admin_portal.sites","2026-07-03","skipped","2026-07-03","","test_sites_export","",""
"","5493","SL-VAL-012/013 Invalid tax values (negative, alpha, above 100%) block save","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_validation","",""
"","5718","SL-VAL-012/013 Invalid tax values (negative, alpha, above 100%) block save","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_validation","",""
"","28853","SL-CP-007 Customer Portal Memberships setting persists after save and re-open","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_edit","",""
"","0","SL-LAN-005 Remove a lane — lane count decreases and persists after save","tests.admin_portal.sites","2026-07-03","skipped","2026-07-03","","test_sites_edit","",""
"","48228","SL-EDT-002 Edited site name persists after save","tests.admin_portal.sites","2026-07-03","failed","2026-07-03","","test_sites_edit","",""
"","7373","SL-NEG-001 Cancel on create does not persist the new site","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_negative","",""
"","3476","SL-FLT-007 Filter by non-matching name returns empty state","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_search_filter","",""
"","3430","SL-VAL-001 Blank required fields block save and page stays on create form","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_validation","",""
"","6864","SL-FLT-004 Active toggle ON shows only active sites","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_search_filter","",""
"","0","SL-DEP-007 Customer Portal visibility toggle controls ecommerce site listing","tests.admin_portal.sites","2026-07-03","skipped","2026-07-03","","test_sites_dependency","",""
"","22809","SL-CRT-001 Create site with all required fields — appears in list as Active","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_positive","",""
"","2888","SL-CRT-018 Cancel on Add site screen returns to the Sites list","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_ui","",""
"","25194","SL-CRT-016 Site count in page title increments after creating a new site","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_positive","",""
"","6775","SL-FLT-002 Filter by exact site name returns the correct record","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_search_filter","",""
"","3026","SL-LST-001 Sites/Locations page loads with all primary controls","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_ui","",""
"","4162","SL-LAN-003 Added lane creates a visible row in the Lanes settings tab","tests.admin_portal.sites","2026-07-03","passed","2026-07-03","","test_sites_edit","",""
"","26015","SL-EDT-004 Activate an inactive site — toggle off then on within one edit session","tests.admin_portal.sites","2026-07-03","broken","2026-07-03","","test_sites_edit","",""
