"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Admin Portal","0","Wash Books","4","0","Customer Wash Books — Validation","0"
"0","Admin Portal","0","Wash Books","11","0","Create","0"
"0","Admin Portal","0","Wash Books","0","6","Dependency","0"
"0","Admin Portal","0","Wash Books","11","0","Search and Filter","0"
"0","Admin Portal","0","Wash Books","9","0","Edit","0"
"0","Admin Portal","0","Wash Books","3","3","Customer Wash Books — Create","0"
"0","Admin Portal","0","Wash Books","5","0","Redemption Settings","0"
"0","Admin Portal","0","Wash Books","2","0","Edge Cases","0"
"0","Admin Portal","0","Wash Books","7","0","Customer Wash Books — Search and Filter","0"
"0","Admin Portal","0","Wash Books","4","0","UI and List","0"
"0","Admin Portal","0","Wash Books","10","0","Validation","0"
"0","Admin Portal","0","Wash Books","2","0","Customer Wash Books — Dependency","0"
"2","Admin Portal","0","Wash Books","1","1","Customer Wash Books — Edit","0"
"0","Admin Portal","0","Wash Books","2","0","Customer Wash Books — UI and List","0"
"0","Admin Portal","0","Wash Books","7","0","Negative","0"
"0","Admin Portal","0","Wash Books","5","1","Site Assignment","0"
"0","Admin Portal","0","Wash Books","1","1","Customer Wash Books — Edge Cases","0"
