"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7142","CWB-VAL-002 Saving with a blank wash book number is blocked","tests.admin_portal.wash_books","2026-06-25","passed","2026-06-25","","test_customer_wash_books_negative","",""
"","8608","WB-LTY-004 Saving without loyalty points succeeds — field is optional","tests.admin_portal.wash_books","2026-06-25","passed","2026-06-25","","test_wash_books_positive","",""
"","0","WB-BAR-003 Duplicate barcode is rejected on save (deferred fixtures)","tests.admin_portal.wash_books","2026-06-25","skipped","2026-06-25","","test_wash_books_dependency","",""
"","0","WB-DEP-002 Deactivated wash book no longer appears in Select wash book dropdown","tests.admin_portal.wash_books","2026-06-25","skipped","2026-06-25","","test_wash_books_dependency","",""
"","26332","WB-BAR-002 Saving without a barcode succeeds — barcode is optional","tests.admin_portal.wash_books","2026-06-25","passed","2026-06-25","","test_wash_books_positive","",""
"","27477","WB-DSC-002 Saving without a description succeeds — description is optional","tests.admin_portal.wash_books","2026-06-25","passed","2026-06-25","","test_wash_books_positive","",""
"","7115","WB-FLT-002 Active wash books filter returns only active records","tests.admin_portal.wash_books","2026-06-25","passed","2026-06-25","","test_wash_books_search_filter","",""
"","32086","WB-EDT-005 Editing redemption settings persists after save","tests.admin_portal.wash_books","2026-06-25","passed","2026-06-25","","test_wash_books_edit","",""
"","0","CWB-CRT-007 Customer wash book is created as Active by default","tests.admin_portal.wash_books","2026-06-25","skipped","2026-06-25","","test_customer_wash_books_positive","",""
"","27076","WB-RED-004 Checking a redemption site without selecting a wash package is documented","tests.admin_portal.wash_books","2026-06-25","passed","2026-06-25","","test_wash_books_redemption","",""
"","24248","Create wash book is idempotent — calling twice does not duplicate","tests.admin_portal.wash_books","2026-06-25","passed","2026-06-25","","test_wash_books_edge_cases","",""
"","6974","CWB-SRH-003 Searching a non-existing number shows an empty state without error","tests.admin_portal.wash_books","2026-06-25","passed","2026-06-25","","test_customer_wash_books_search_filter","",""
"","8672","WB-LTY-002 Entering 0 for Points awarded is accepted as a valid value","tests.admin_portal.wash_books","2026-06-25","passed","2026-06-25","","test_wash_books_positive","",""
"","0","CWB-CRT-002 Creating with a site selection persists site association","tests.admin_portal.wash_books","2026-06-25","skipped","2026-06-25","","test_customer_wash_books_positive","",""
"","0","CWB-CRT-005 Creating with a future expiration date persists the date","tests.admin_portal.wash_books","2026-06-25","skipped","2026-06-25","","test_customer_wash_books_positive","",""
"","7463","WB-LST-001 Wash books page loads with primary controls","tests.admin_portal.wash_books","2026-06-25","passed","2026-06-25","","test_wash_books_ui","",""
"","9805","WB-TGL-002 Create wash book with Active toggle OFF — form accepts inactive status","tests.admin_portal.wash_books","2026-06-25","passed","2026-06-25","","test_wash_books_positive","",""
"","24851","WB-NAM-001 / WB-TGL-001 Create active wash book — name and status in listing","tests.admin_portal.wash_books","2026-06-25","passed","2026-06-25","","test_wash_books_positive","",""
"","0","WB-CPT-001 Show on customer portal enabled — wash book visible to customers (deferred)","tests.admin_portal.wash_books","2026-06-25","skipped","2026-06-25","","test_wash_books_dependency","",""
"","9607","WB-PRI-003 Zero global price — boundary behaviour documented","tests.admin_portal.wash_books","2026-06-25","passed","2026-06-25","","test_wash_books_validation","",""
"","10384","CWB-DEP-001 Only active wash books appear in the Select wash book dropdown","tests.admin_portal.wash_books","2026-06-25","passed","2026-06-25","","test_customer_wash_books_dependency","",""
"","8737","CWB-CRT-001 Valid customer wash book creates and appears in the listing","tests.admin_portal.wash_books","2026-06-25","passed","2026-06-25","","test_customer_wash_books_positive","",""
"","19814","CWB-EDT-001 Editing number of washes persists after save","tests.admin_portal.wash_books","2026-06-25","passed","2026-06-25","","test_customer_wash_books_edit","",""
